Order ID,Product Category,Product, Sales ,Quantity,Discount, Profit , Shipping Cost 
HF-2015-4650,Home & Furniture,Dinner Crockery, $133.0 ,2,0.01, $50.3 , $5.0 
HF-2015-4651,Home & Furniture,Sofa Covers, $216.0 ,4,0.03, $110.1 , $11.0 
HF-2015-4652,Home & Furniture,Bed Sheets, $211.0 ,3,0.03, $112.0 , $11.2 
HF-2015-4653,Home & Furniture,Curtains, $34.0 ,4,0.04, $8.5 , $0.9 
HF-2015-4654,Home & Furniture,Towels, $228.0 ,5,0.05, $91.0 , $9.1 
HF-2015-4655,Home & Furniture,Sofas, $67.0 ,3,0.03, $22.3 , $2.2 
HF-2015-4656,Home & Furniture,Beds, $78.0 ,3,0.05, $26.0 , $2.6 
HF-2015-4657,Home & Furniture,Dinning Tables, $119.0 ,1,0.03, $35.4 , $3.5 
HF-2015-4658,Home & Furniture,Shoe Rack, $124.0 ,3,0.02, $36.6 , $3.7 
HF-2015-4659,Home & Furniture,Umbrellas, $70.0 ,4,0.03, $17.5 , $1.8 
HF-2015-4660,Home & Furniture,Dinner Crockery, $133.0 ,2,0.01, $50.3 , $5.0 
HF-2015-4661,Home & Furniture,Sofa Covers, $216.0 ,5,0.02, $114.4 , $11.4 
HF-2015-4662,Home & Furniture,Bed Sheets, $211.0 ,3,0.05, $99.4 , $9.9 
HF-2015-4663,Home & Furniture,Curtains, $34.0 ,4,0.01, $8.5 , $0.9 
HF-2015-4664,Home & Furniture,Towels, $228.0 ,5,0.03, $113.8 , $11.4 
HF-2015-4665,Home & Furniture,Sofas, $67.0 ,2,0.05, $33.5 , $3.4 
HF-2015-4666,Home & Furniture,Beds, $78.0 ,5,0.05, $15.6 , $1.6 
HF-2015-4667,Home & Furniture,Dinning Tables, $119.0 ,2,0.04, $29.5 , $2.9 
HF-2015-4668,Home & Furniture,Shoe Rack, $124.0 ,1,0.03, $40.3 , $4.0 
HF-2015-4669,Home & Furniture,Umbrellas, $70.0 ,1,0.05, $70.0 , $7.0 
HF-2015-4670,Home & Furniture,Dinner Crockery, $133.0 ,1,0.01, $51.7 , $5.2 
HF-2015-4671,Home & Furniture,Sofa Covers, $216.0 ,3,0.01, $129.5 , $13.0 
HF-2015-4672,Home & Furniture,Bed Sheets, $211.0 ,5,0.04, $88.8 , $8.9 
HF-2015-4673,Home & Furniture,Curtains, $34.0 ,1,0.05, $34.0 , $3.4 
HF-2015-4674,Home & Furniture,Towels, $228.0 ,4,0.04, $111.5 , $11.2 
HF-2015-4675,Home & Furniture,Sofas, $67.0 ,2,0.02, $33.5 , $3.4 
HF-2015-4676,Home & Furniture,Beds, $78.0 ,1,0.01, $78.0 , $7.8 
HF-2015-4677,Home & Furniture,Dinning Tables, $119.0 ,2,0.02, $34.2 , $3.4 
HF-2015-4678,Home & Furniture,Shoe Rack, $124.0 ,4,0.04, $24.2 , $2.4 
HF-2015-4679,Home & Furniture,Umbrellas, $70.0 ,5,0.02, $14.0 , $1.4 
HF-2015-4680,Home & Furniture,Dinner Crockery, $133.0 ,5,0.03, $33.1 , $3.3 
HF-2015-4681,Home & Furniture,Sofa Covers, $216.0 ,1,0.03, $129.5 , $13.0 
HF-2015-4682,Home & Furniture,Bed Sheets, $211.0 ,5,0.04, $88.8 , $8.9 
HF-2015-4683,Home & Furniture,Curtains, $34.0 ,2,0.04, $17.0 , $1.7 
HF-2015-4684,Home & Furniture,Towels, $228.0 ,5,0.02, $125.2 , $12.5 
HF-2015-4685,Home & Furniture,Sofas, $67.0 ,5,0.03, $13.4 , $1.3 
HF-2015-4686,Home & Furniture,Beds, $78.0 ,1,0.04, $78.0 , $7.8 
HF-2015-4687,Home & Furniture,Dinning Tables, $119.0 ,2,0.02, $34.2 , $3.4 
HF-2015-4688,Home & Furniture,Shoe Rack, $124.0 ,3,0.05, $25.4 , $2.5 
HF-2015-4689,Home & Furniture,Umbrellas, $70.0 ,3,0.03, $23.3 , $2.3 
HF-2015-4690,Home & Furniture,Dinner Crockery, $133.0 ,1,0.02, $50.3 , $5.0 
HF-2015-4691,Home & Furniture,Sofa Covers, $216.0 ,5,0.02, $114.4 , $11.4 
HF-2015-4692,Home & Furniture,Bed Sheets, $211.0 ,5,0.04, $88.8 , $8.9 
HF-2015-4693,Home & Furniture,Curtains, $34.0 ,2,0.05, $17.0 , $1.7 
HF-2015-4694,Home & Furniture,Towels, $228.0 ,5,0.01, $136.6 , $13.7 
HF-2015-4695,Home & Furniture,Sofas, $67.0 ,3,0.01, $22.3 , $2.2 
HF-2015-4696,Home & Furniture,Beds, $78.0 ,1,0.03, $78.0 , $7.8 
HF-2015-4697,Home & Furniture,Dinning Tables, $119.0 ,3,0.01, $35.4 , $3.5 
HF-2015-4698,Home & Furniture,Shoe Rack, $124.0 ,2,0.03, $36.6 , $3.7 
HF-2015-4699,Home & Furniture,Umbrellas, $70.0 ,5,0.04, $14.0 , $1.4 
HF-2015-4700,Home & Furniture,Dinner Crockery, $133.0 ,1,0.03, $49.0 , $4.9 
HF-2015-4701,Home & Furniture,Sofa Covers, $216.0 ,2,0.05, $114.4 , $11.4 
HF-2015-4702,Home & Furniture,Bed Sheets, $211.0 ,3,0.05, $99.4 , $9.9 
HF-2015-4703,Home & Furniture,Curtains, $34.0 ,3,0.01, $11.3 , $1.1 
HF-2015-4704,Home & Furniture,Towels, $228.0 ,3,0.03, $127.5 , $12.7 
HF-2015-4705,Home & Furniture,Sofas, $67.0 ,5,0.04, $13.4 , $1.3 
HF-2015-4706,Home & Furniture,Beds, $78.0 ,5,0.05, $15.6 , $1.6 
HF-2015-4707,Home & Furniture,Dinning Tables, $119.0 ,1,0.04, $34.2 , $3.4 
HF-2015-4708,Home & Furniture,Shoe Rack, $124.0 ,4,0.05, $19.2 , $1.9 
HF-2015-4709,Home & Furniture,Umbrellas, $70.0 ,2,0.04, $35.0 , $3.5 
HF-2015-4710,Home & Furniture,Dinner Crockery, $133.0 ,3,0.01, $49.0 , $4.9 
HF-2015-4711,Home & Furniture,Sofa Covers, $216.0 ,2,0.03, $123.0 , $12.3 
HF-2015-4712,Home & Furniture,Bed Sheets, $211.0 ,3,0.03, $112.0 , $11.2 
HF-2015-4713,Home & Furniture,Curtains, $34.0 ,1,0.04, $34.0 , $3.4 
HF-2015-4714,Home & Furniture,Towels, $228.0 ,2,0.03, $134.3 , $13.4 
HF-2015-4715,Home & Furniture,Sofas, $67.0 ,2,0.01, $33.5 , $3.4 
HF-2015-4716,Home & Furniture,Beds, $78.0 ,4,0.04, $19.5 , $2.0 
HF-2015-4717,Home & Furniture,Dinning Tables, $119.0 ,2,0.01, $36.6 , $3.7 
HF-2015-4718,Home & Furniture,Shoe Rack, $124.0 ,4,0.04, $24.2 , $2.4 
HF-2015-4719,Home & Furniture,Umbrellas, $70.0 ,1,0.01, $70.0 , $7.0 
HF-2015-4720,Home & Furniture,Dinner Crockery, $133.0 ,3,0.01, $49.0 , $4.9 
HF-2015-4721,Home & Furniture,Sofa Covers, $216.0 ,4,0.04, $101.4 , $10.1 
HF-2015-4722,Home & Furniture,Bed Sheets, $211.0 ,4,0.01, $122.6 , $12.3 
HF-2015-4723,Home & Furniture,Curtains, $34.0 ,2,0.02, $17.0 , $1.7 
HF-2015-4724,Home & Furniture,Towels, $228.0 ,4,0.03, $120.6 , $12.1 
HF-2015-4725,Home & Furniture,Sofas, $67.0 ,2,0.04, $33.5 , $3.4 
HF-2015-4726,Home & Furniture,Beds, $78.0 ,3,0.02, $26.0 , $2.6 
HF-2015-4727,Home & Furniture,Dinning Tables, $119.0 ,5,0.01, $33.1 , $3.3 
HF-2015-4728,Home & Furniture,Shoe Rack, $124.0 ,3,0.05, $25.4 , $2.5 
HF-2015-4729,Home & Furniture,Umbrellas, $70.0 ,5,0.02, $14.0 , $1.4 
HF-2015-4730,Home & Furniture,Dinner Crockery, $133.0 ,3,0.01, $49.0 , $4.9 
HF-2015-4731,Home & Furniture,Sofa Covers, $216.0 ,3,0.04, $110.1 , $11.0 
HF-2015-4732,Home & Furniture,Bed Sheets, $211.0 ,5,0.03, $99.4 , $9.9 
HF-2015-4733,Home & Furniture,Curtains, $34.0 ,2,0.01, $17.0 , $1.7 
HF-2015-4734,Home & Furniture,Towels, $228.0 ,1,0.02, $143.4 , $14.3 
HF-2015-4735,Home & Furniture,Sofas, $67.0 ,2,0.05, $33.5 , $3.4 
HF-2015-4736,Home & Furniture,Beds, $78.0 ,3,0.01, $26.0 , $2.6 
HF-2015-4737,Home & Furniture,Dinning Tables, $119.0 ,5,0.01, $33.1 , $3.3 
HF-2015-4738,Home & Furniture,Shoe Rack, $124.0 ,5,0.05, $13.0 , $1.3 
HF-2015-4739,Home & Furniture,Umbrellas, $70.0 ,4,0.03, $17.5 , $1.8 
HF-2015-4740,Home & Furniture,Dinner Crockery, $133.0 ,5,0.04, $26.4 , $2.6 
HF-2015-4741,Home & Furniture,Sofa Covers, $216.0 ,2,0.03, $123.0 , $12.3 
HF-2015-4742,Home & Furniture,Bed Sheets, $211.0 ,5,0.05, $78.3 , $7.8 
HF-2015-4743,Home & Furniture,Curtains, $34.0 ,5,0.05, $6.8 , $0.7 
HF-2015-4744,Home & Furniture,Towels, $228.0 ,1,0.04, $138.9 , $13.9 
HF-2015-4745,Home & Furniture,Sofas, $67.0 ,2,0.02, $33.5 , $3.4 
HF-2015-4746,Home & Furniture,Beds, $78.0 ,3,0.02, $26.0 , $2.6 
HF-2015-4747,Home & Furniture,Dinning Tables, $119.0 ,1,0.05, $33.1 , $3.3 
HF-2015-4748,Home & Furniture,Shoe Rack, $124.0 ,4,0.03, $29.1 , $2.9 
HF-2015-4749,Home & Furniture,Umbrellas, $70.0 ,3,0.01, $23.3 , $2.3 
HF-2015-4750,Home & Furniture,Dinner Crockery, $133.0 ,3,0.01, $49.0 , $4.9 
HF-2015-4751,Home & Furniture,Sofa Covers, $216.0 ,2,0.05, $114.4 , $11.4 
HF-2015-4752,Home & Furniture,Bed Sheets, $211.0 ,2,0.02, $122.6 , $12.3 
HF-2015-4753,Home & Furniture,Curtains, $34.0 ,4,0.01, $8.5 , $0.9 
HF-2015-4754,Home & Furniture,Towels, $228.0 ,4,0.04, $111.5 , $11.2 
HF-2015-4755,Home & Furniture,Sofas, $67.0 ,1,0.01, $67.0 , $6.7 
HF-2015-4756,Home & Furniture,Beds, $78.0 ,3,0.03, $26.0 , $2.6 
HF-2015-4757,Home & Furniture,Dinning Tables, $119.0 ,5,0.01, $33.1 , $3.3 
HF-2015-4758,Home & Furniture,Shoe Rack, $124.0 ,3,0.04, $29.1 , $2.9 
HF-2015-4759,Home & Furniture,Umbrellas, $70.0 ,4,0.04, $17.5 , $1.8 
HF-2015-4760,Home & Furniture,Dinner Crockery, $133.0 ,4,0.04, $31.7 , $3.2 
HF-2015-4761,Home & Furniture,Sofa Covers, $216.0 ,1,0.05, $125.2 , $12.5 
HF-2015-4762,Home & Furniture,Bed Sheets, $211.0 ,4,0.01, $122.6 , $12.3 
HF-2015-4763,Home & Furniture,Curtains, $34.0 ,4,0.05, $8.5 , $0.9 
HF-2015-4764,Home & Furniture,Towels, $228.0 ,2,0.02, $138.9 , $13.9 
HF-2015-4765,Home & Furniture,Sofas, $67.0 ,1,0.01, $67.0 , $6.7 
HF-2015-4766,Home & Furniture,Beds, $78.0 ,3,0.03, $26.0 , $2.6 
HF-2015-4767,Home & Furniture,Dinning Tables, $119.0 ,4,0.03, $24.7 , $2.5 
HF-2015-4768,Home & Furniture,Shoe Rack, $124.0 ,5,0.05, $13.0 , $1.3 
HF-2015-4769,Home & Furniture,Umbrellas, $70.0 ,2,0.05, $35.0 , $3.5 
HF-2015-4770,Home & Furniture,Dinner Crockery, $133.0 ,1,0.02, $50.3 , $5.0 
HF-2015-4771,Home & Furniture,Sofa Covers, $216.0 ,5,0.02, $114.4 , $11.4 
HF-2015-4772,Home & Furniture,Bed Sheets, $211.0 ,1,0.05, $120.5 , $12.0 
HF-2015-4773,Home & Furniture,Curtains, $34.0 ,1,0.05, $34.0 , $3.4 
HF-2015-4774,Home & Furniture,Towels, $228.0 ,5,0.02, $125.2 , $12.5 
HF-2015-4775,Home & Furniture,Sofas, $67.0 ,3,0.02, $22.3 , $2.2 
HF-2015-4776,Home & Furniture,Beds, $78.0 ,4,0.02, $19.5 , $2.0 
HF-2015-4777,Home & Furniture,Dinning Tables, $119.0 ,2,0.03, $31.9 , $3.2 
HF-2015-4778,Home & Furniture,Shoe Rack, $124.0 ,4,0.03, $29.1 , $2.9 
HF-2015-4779,Home & Furniture,Umbrellas, $70.0 ,4,0.05, $17.5 , $1.8 
HF-2015-4780,Home & Furniture,Dinner Crockery, $133.0 ,5,0.02, $39.7 , $4.0 
HF-2015-4781,Home & Furniture,Sofa Covers, $216.0 ,5,0.02, $114.4 , $11.4 
HF-2015-4782,Home & Furniture,Bed Sheets, $211.0 ,5,0.01, $120.5 , $12.0 
HF-2015-4783,Home & Furniture,Curtains, $34.0 ,1,0.01, $34.0 , $3.4 
HF-2015-4784,Home & Furniture,Towels, $228.0 ,3,0.03, $127.5 , $12.7 
HF-2015-4785,Home & Furniture,Sofas, $67.0 ,4,0.01, $16.8 , $1.7 
HF-2015-4786,Home & Furniture,Beds, $78.0 ,5,0.05, $15.6 , $1.6 
HF-2015-4787,Home & Furniture,Dinning Tables, $119.0 ,2,0.05, $27.1 , $2.7 
HF-2015-4788,Home & Furniture,Shoe Rack, $124.0 ,5,0.01, $37.8 , $3.8 
HF-2015-4789,Home & Furniture,Umbrellas, $70.0 ,1,0.01, $70.0 , $7.0 
HF-2015-4790,Home & Furniture,Dinner Crockery, $133.0 ,2,0.01, $50.3 , $5.0 
HF-2015-4791,Home & Furniture,Sofa Covers, $216.0 ,5,0.03, $103.6 , $10.4 
HF-2015-4792,Home & Furniture,Bed Sheets, $211.0 ,4,0.05, $88.8 , $8.9 
HF-2015-4793,Home & Furniture,Curtains, $34.0 ,2,0.05, $17.0 , $1.7 
HF-2015-4794,Home & Furniture,Towels, $228.0 ,4,0.04, $111.5 , $11.2 
HF-2015-4795,Home & Furniture,Sofas, $67.0 ,2,0.05, $33.5 , $3.4 
HF-2015-4796,Home & Furniture,Beds, $78.0 ,3,0.01, $26.0 , $2.6 
HF-2015-4797,Home & Furniture,Dinning Tables, $119.0 ,5,0.01, $33.1 , $3.3 
HF-2015-4798,Home & Furniture,Shoe Rack, $124.0 ,1,0.02, $41.5 , $4.2 
HF-2015-4799,Home & Furniture,Umbrellas, $70.0 ,2,0.05, $35.0 , $3.5 
HF-2015-4800,Home & Furniture,Dinner Crockery, $133.0 ,3,0.01, $49.0 , $4.9 
HF-2015-4801,Home & Furniture,Sofa Covers, $216.0 ,3,0.05, $103.6 , $10.4 
HF-2015-4802,Home & Furniture,Bed Sheets, $211.0 ,4,0.01, $122.6 , $12.3 
HF-2015-4803,Home & Furniture,Curtains, $34.0 ,1,0.04, $34.0 , $3.4 
HF-2015-4804,Home & Furniture,Towels, $228.0 ,2,0.02, $138.9 , $13.9 
HF-2015-4805,Home & Furniture,Sofas, $67.0 ,1,0.04, $67.0 , $6.7 
HF-2015-4806,Home & Furniture,Beds, $78.0 ,4,0.04, $19.5 , $2.0 
HF-2015-4807,Home & Furniture,Dinning Tables, $119.0 ,5,0.01, $33.1 , $3.3 
HF-2015-4808,Home & Furniture,Shoe Rack, $124.0 ,3,0.03, $32.8 , $3.3 
HF-2015-4809,Home & Furniture,Umbrellas, $70.0 ,2,0.05, $35.0 , $3.5 
HF-2015-4810,Home & Furniture,Dinner Crockery, $133.0 ,2,0.05, $39.7 , $4.0 
HF-2015-4811,Home & Furniture,Sofa Covers, $216.0 ,2,0.05, $114.4 , $11.4 
HF-2015-4812,Home & Furniture,Bed Sheets, $211.0 ,3,0.03, $112.0 , $11.2 
HF-2015-4813,Home & Furniture,Curtains, $34.0 ,2,0.02, $17.0 , $1.7 
HF-2015-4814,Home & Furniture,Towels, $228.0 ,3,0.04, $120.6 , $12.1 
HF-2015-4815,Home & Furniture,Sofas, $67.0 ,1,0.01, $67.0 , $6.7 
HF-2015-4816,Home & Furniture,Beds, $78.0 ,2,0.01, $39.0 , $3.9 
HF-2015-4817,Home & Furniture,Dinning Tables, $119.0 ,4,0.03, $24.7 , $2.5 
HF-2015-4818,Home & Furniture,Shoe Rack, $124.0 ,3,0.03, $32.8 , $3.3 
HF-2015-4819,Home & Furniture,Umbrellas, $70.0 ,2,0.02, $35.0 , $3.5 
HF-2015-4820,Home & Furniture,Dinner Crockery, $133.0 ,2,0.03, $45.0 , $4.5 
HF-2015-4821,Home & Furniture,Sofa Covers, $216.0 ,1,0.05, $125.2 , $12.5 
HF-2015-4822,Home & Furniture,Bed Sheets, $211.0 ,1,0.01, $128.9 , $12.9 
HF-2015-4823,Home & Furniture,Curtains, $34.0 ,4,0.05, $8.5 , $0.9 
HF-2015-4824,Home & Furniture,Towels, $228.0 ,5,0.04, $102.4 , $10.2 
HF-2015-4825,Home & Furniture,Sofas, $67.0 ,5,0.05, $13.4 , $1.3 
HF-2015-4826,Home & Furniture,Beds, $78.0 ,5,0.01, $15.6 , $1.6 
HF-2015-4827,Home & Furniture,Dinning Tables, $119.0 ,2,0.01, $36.6 , $3.7 
HF-2015-4828,Home & Furniture,Shoe Rack, $124.0 ,2,0.03, $36.6 , $3.7 
HF-2015-4829,Home & Furniture,Umbrellas, $70.0 ,1,0.03, $70.0 , $7.0 
HF-2015-4830,Home & Furniture,Dinner Crockery, $133.0 ,1,0.01, $51.7 , $5.2 
HF-2015-4831,Home & Furniture,Sofa Covers, $216.0 ,1,0.04, $127.4 , $12.7 
HF-2015-4832,Home & Furniture,Bed Sheets, $211.0 ,1,0.03, $124.7 , $12.5 
HF-2015-4833,Home & Furniture,Curtains, $34.0 ,2,0.04, $17.0 , $1.7 
HF-2015-4834,Home & Furniture,Towels, $228.0 ,5,0.03, $113.8 , $11.4 
HF-2015-4835,Home & Furniture,Sofas, $67.0 ,2,0.03, $33.5 , $3.4 
HF-2015-4836,Home & Furniture,Beds, $78.0 ,5,0.02, $15.6 , $1.6 
HF-2015-4837,Home & Furniture,Dinning Tables, $119.0 ,1,0.02, $36.6 , $3.7 
HF-2015-4838,Home & Furniture,Shoe Rack, $124.0 ,5,0.03, $25.4 , $2.5 
HF-2015-4839,Home & Furniture,Umbrellas, $70.0 ,4,0.05, $17.5 , $1.8 
HF-2015-4840,Home & Furniture,Dinner Crockery, $133.0 ,4,0.02, $42.4 , $4.2 
HF-2015-4841,Home & Furniture,Sofa Covers, $216.0 ,4,0.03, $110.1 , $11.0 
HF-2015-4842,Home & Furniture,Bed Sheets, $211.0 ,3,0.04, $105.7 , $10.6 
HF-2015-4843,Home & Furniture,Curtains, $34.0 ,1,0.03, $34.0 , $3.4 
HF-2015-4844,Home & Furniture,Towels, $228.0 ,3,0.05, $113.8 , $11.4 
HF-2015-4845,Home & Furniture,Sofas, $67.0 ,2,0.03, $33.5 , $3.4 
HF-2015-4846,Home & Furniture,Beds, $78.0 ,3,0.02, $26.0 , $2.6 
HF-2015-4847,Home & Furniture,Dinning Tables, $119.0 ,3,0.04, $24.7 , $2.5 
HF-2015-4848,Home & Furniture,Shoe Rack, $124.0 ,5,0.01, $37.8 , $3.8 
HF-2015-4849,Home & Furniture,Umbrellas, $70.0 ,1,0.02, $70.0 , $7.0 
HF-2015-4850,Home & Furniture,Dinner Crockery, $133.0 ,1,0.03, $49.0 , $4.9 
HF-2015-4851,Home & Furniture,Sofa Covers, $216.0 ,4,0.05, $92.8 , $9.3 
HF-2015-4852,Home & Furniture,Bed Sheets, $211.0 ,1,0.03, $124.7 , $12.5 
HF-2015-4853,Home & Furniture,Curtains, $34.0 ,1,0.04, $34.0 , $3.4 
HF-2015-4854,Home & Furniture,Towels, $228.0 ,2,0.04, $129.8 , $13.0 
HF-2015-4855,Home & Furniture,Sofas, $67.0 ,5,0.04, $13.4 , $1.3 
HF-2015-4856,Home & Furniture,Beds, $78.0 ,4,0.03, $19.5 , $2.0 
HF-2015-4857,Home & Furniture,Dinning Tables, $119.0 ,3,0.02, $31.9 , $3.2 
HF-2015-4858,Home & Furniture,Shoe Rack, $124.0 ,1,0.05, $37.8 , $3.8 
HF-2015-4859,Home & Furniture,Umbrellas, $70.0 ,5,0.05, $14.0 , $1.4 
HF-2015-4860,Home & Furniture,Dinner Crockery, $133.0 ,3,0.02, $45.0 , $4.5 
HF-2015-4861,Home & Furniture,Sofa Covers, $216.0 ,5,0.02, $114.4 , $11.4 
HF-2015-4862,Home & Furniture,Bed Sheets, $211.0 ,5,0.01, $120.5 , $12.0 
HF-2015-4863,Home & Furniture,Curtains, $34.0 ,1,0.03, $34.0 , $3.4 
HF-2015-4864,Home & Furniture,Towels, $228.0 ,1,0.01, $145.7 , $14.6 
HF-2015-4865,Home & Furniture,Sofas, $67.0 ,4,0.05, $16.8 , $1.7 
HF-2015-4866,Home & Furniture,Beds, $78.0 ,4,0.05, $19.5 , $2.0 
HF-2015-4867,Home & Furniture,Dinning Tables, $119.0 ,1,0.05, $33.1 , $3.3 
HF-2015-4868,Home & Furniture,Shoe Rack, $124.0 ,2,0.02, $39.0 , $3.9 
HF-2015-4869,Home & Furniture,Umbrellas, $70.0 ,2,0.03, $35.0 , $3.5 
HF-2015-4870,Home & Furniture,Dinner Crockery, $133.0 ,1,0.04, $47.7 , $4.8 
HF-2015-4871,Home & Furniture,Sofa Covers, $216.0 ,5,0.01, $125.2 , $12.5 
HF-2015-4872,Home & Furniture,Bed Sheets, $211.0 ,4,0.01, $122.6 , $12.3 
HF-2015-4873,Home & Furniture,Curtains, $34.0 ,3,0.01, $11.3 , $1.1 
HF-2015-4874,Home & Furniture,Towels, $228.0 ,3,0.03, $127.5 , $12.7 
HF-2015-4875,Home & Furniture,Sofas, $67.0 ,2,0.02, $33.5 , $3.4 
HF-2015-4876,Home & Furniture,Beds, $78.0 ,2,0.01, $39.0 , $3.9 
HF-2015-4877,Home & Furniture,Dinning Tables, $119.0 ,2,0.05, $27.1 , $2.7 
HF-2015-4878,Home & Furniture,Shoe Rack, $124.0 ,4,0.01, $39.0 , $3.9 
HF-2015-4879,Home & Furniture,Umbrellas, $70.0 ,5,0.04, $14.0 , $1.4 
HF-2015-4880,Home & Furniture,Dinner Crockery, $133.0 ,5,0.03, $33.1 , $3.3 
HF-2015-4881,Home & Furniture,Sofa Covers, $216.0 ,1,0.05, $125.2 , $12.5 
HF-2015-4882,Home & Furniture,Bed Sheets, $211.0 ,4,0.05, $88.8 , $8.9 
HF-2015-4883,Home & Furniture,Curtains, $34.0 ,1,0.05, $34.0 , $3.4 
HF-2015-4884,Home & Furniture,Towels, $228.0 ,4,0.04, $111.5 , $11.2 
HF-2015-4885,Home & Furniture,Sofas, $67.0 ,2,0.03, $33.5 , $3.4 
HF-2015-4886,Home & Furniture,Beds, $78.0 ,1,0.02, $78.0 , $7.8 
HF-2015-4887,Home & Furniture,Dinning Tables, $119.0 ,1,0.01, $37.8 , $3.8 
HF-2015-4888,Home & Furniture,Shoe Rack, $124.0 ,2,0.01, $41.5 , $4.2 
HF-2015-4889,Home & Furniture,Umbrellas, $70.0 ,2,0.04, $35.0 , $3.5 
HF-2015-4890,Home & Furniture,Dinner Crockery, $133.0 ,5,0.02, $39.7 , $4.0 
HF-2015-4891,Home & Furniture,Sofa Covers, $216.0 ,1,0.04, $127.4 , $12.7 
HF-2015-4892,Home & Furniture,Bed Sheets, $211.0 ,4,0.05, $88.8 , $8.9 
HF-2015-4893,Home & Furniture,Curtains, $34.0 ,3,0.04, $11.3 , $1.1 
HF-2015-4894,Home & Furniture,Towels, $228.0 ,5,0.04, $102.4 , $10.2 
HF-2015-4895,Home & Furniture,Sofas, $67.0 ,4,0.01, $16.8 , $1.7 
HF-2015-4896,Home & Furniture,Beds, $78.0 ,2,0.03, $39.0 , $3.9 
HF-2015-4897,Home & Furniture,Dinning Tables, $119.0 ,1,0.01, $37.8 , $3.8 
HF-2015-4898,Home & Furniture,Shoe Rack, $124.0 ,1,0.05, $37.8 , $3.8 
HF-2015-4899,Home & Furniture,Umbrellas, $70.0 ,2,0.01, $35.0 , $3.5 
HF-2015-4900,Home & Furniture,Dinner Crockery, $133.0 ,4,0.05, $26.4 , $2.6 
HF-2015-4901,Home & Furniture,Sofa Covers, $216.0 ,3,0.02, $123.0 , $12.3 
HF-2015-4902,Home & Furniture,Bed Sheets, $211.0 ,3,0.03, $112.0 , $11.2 
HF-2015-4903,Home & Furniture,Curtains, $34.0 ,3,0.05, $11.3 , $1.1 
HF-2015-4904,Home & Furniture,Towels, $228.0 ,1,0.04, $138.9 , $13.9 
HF-2015-4905,Home & Furniture,Sofas, $67.0 ,1,0.04, $67.0 , $6.7 
HF-2015-4906,Home & Furniture,Beds, $78.0 ,1,0.05, $78.0 , $7.8 
HF-2015-4907,Home & Furniture,Dinning Tables, $119.0 ,4,0.05, $15.2 , $1.5 
HF-2015-4908,Home & Furniture,Shoe Rack, $124.0 ,2,0.03, $36.6 , $3.7 
HF-2015-4909,Home & Furniture,Umbrellas, $70.0 ,3,0.04, $23.3 , $2.3 
HF-2015-4910,Home & Furniture,Dinner Crockery, $133.0 ,1,0.04, $47.7 , $4.8 
HF-2015-4911,Home & Furniture,Sofa Covers, $216.0 ,4,0.05, $92.8 , $9.3 
HF-2015-4912,Home & Furniture,Bed Sheets, $211.0 ,1,0.05, $120.5 , $12.0 
HF-2015-4913,Home & Furniture,Curtains, $34.0 ,1,0.04, $34.0 , $3.4 
HF-2015-4914,Home & Furniture,Towels, $228.0 ,5,0.01, $136.6 , $13.7 
HF-2015-4915,Home & Furniture,Sofas, $67.0 ,5,0.01, $13.4 , $1.3 
HF-2015-4916,Home & Furniture,Beds, $78.0 ,5,0.02, $15.6 , $1.6 
HF-2015-4917,Home & Furniture,Dinning Tables, $119.0 ,1,0.04, $34.2 , $3.4 
HF-2015-4918,Home & Furniture,Shoe Rack, $124.0 ,5,0.01, $37.8 , $3.8 
HF-2015-4919,Home & Furniture,Umbrellas, $70.0 ,3,0.04, $23.3 , $2.3 
HF-2015-4920,Home & Furniture,Dinner Crockery, $133.0 ,3,0.04, $37.0 , $3.7 
HF-2015-4921,Home & Furniture,Sofa Covers, $216.0 ,5,0.01, $125.2 , $12.5 
HF-2015-4922,Home & Furniture,Bed Sheets, $211.0 ,5,0.03, $99.4 , $9.9 
HF-2015-4923,Home & Furniture,Curtains, $34.0 ,5,0.02, $6.8 , $0.7 
HF-2015-4924,Home & Furniture,Towels, $228.0 ,4,0.05, $102.4 , $10.2 
HF-2015-4925,Home & Furniture,Sofas, $67.0 ,3,0.03, $22.3 , $2.2 
HF-2015-4926,Home & Furniture,Beds, $78.0 ,1,0.04, $78.0 , $7.8 
HF-2015-4927,Home & Furniture,Dinning Tables, $119.0 ,2,0.04, $29.5 , $2.9 
HF-2015-4928,Home & Furniture,Shoe Rack, $124.0 ,3,0.02, $36.6 , $3.7 
HF-2015-4929,Home & Furniture,Umbrellas, $70.0 ,5,0.05, $14.0 , $1.4 
HF-2015-4930,Home & Furniture,Dinner Crockery, $133.0 ,5,0.02, $39.7 , $4.0 
HF-2015-4931,Home & Furniture,Sofa Covers, $216.0 ,1,0.03, $129.5 , $13.0 
HF-2015-4932,Home & Furniture,Bed Sheets, $211.0 ,5,0.03, $99.4 , $9.9 
HF-2015-4933,Home & Furniture,Curtains, $34.0 ,1,0.05, $34.0 , $3.4 
HF-2015-4934,Home & Furniture,Towels, $228.0 ,2,0.03, $134.3 , $13.4 
HF-2015-4935,Home & Furniture,Sofas, $67.0 ,4,0.04, $16.8 , $1.7 
HF-2015-4936,Home & Furniture,Beds, $78.0 ,3,0.01, $26.0 , $2.6 
